"Effect Name","Effect Size","Lower 95% CI","Upper 95% CI","Effective Sample Size","pMCMC"
" "," "," "," "," "," "
"landsat8_ndvi ~ drone_ndvi"," "," "," "," "," "
" "," "," "," "," "," "
"Effect Name","Effect Size","Lower 95% CI","Upper 95% CI","Effective Sample Size","pMCMC"
"(Intercept)","0.2791","0.2414","0.3179","5136","2e-04"
"drone_ndvi","0.5604","0.4977","0.6296","5108","2e-04"
" "," "," "," "," "," "
"units","0.00205","0.00165","0.00247","4910"," "
