"site_veg_year","cor_coef","p_value","n"
"PS1_HER_2016",0.49,"0.356",6
"PS1_HER_2017",0.77,"0.103",6
"PS1_KOM_2016",0.1,"0.95",5
"PS2_HER_2016",1,"0.083",4
"PS2_HER_2017",1,"0.017",5
"PS2_KOM_2016",0.4,"0.75",4
"PS2_KOM_2017",1,"0.083",4
"PS3_HER_2017",0.4,"0.75",4
"PS3_KOM_2017",0.7,"0.233",5
"PS4_HER_2017",1,"0.017",5
"PS4_KOM_2017",0.8,"0.333",4
