flight_id,date,time,Aircraft_ID,Sensor_ID,Skye_Code
JA20160706_01,06/07/2016,17:48:00,Tarot 680 Pro,Sequoia (RED),NA
JA20160706_02,06/07/2016,18:28:00,Tarot 680 Pro,Sequoia (RED),NA
JA20160706_03,06/07/2016,19:20:00,Tarot 680 Pro,Sequoia (RED),NA
JA20160706_04,06/07/2016,19:40:00,Tarot 680 Pro,Sequoia (RED),NA
JA20160708_01,08/07/2016,17:25:00,Tarot 680 Pro,Sequoia (RED),NA
JA20160708_02,08/07/2016,17:40:00,Tarot 680 Pro,Sequoia (RED),NA
JA20160708_03,08/07/2016,18:35:00,Tarot 680 Pro,Sequoia (RED),NA
JA20160708_04,08/07/2016,18:50:00,Tarot 680 Pro,Sequoia (RED),NA
JA20160709_01,09/07/2016,15:15:00,Tarot 680 Pro,Sequoia (RED),NA
JA20160709_02,09/07/2016,15:30:00,Tarot 680 Pro,Sequoia (RED),NA
JA20160709_03,09/07/2016,15:56:00,Tarot 680 Pro,Sequoia (RED),NA
JA20160709_04,09/07/2016,16:32:00,Tarot 680 Pro,Sequoia (RED),NA
JA20160709_05,09/07/2016,16:50:00,Tarot 680 Pro,Sequoia (RED),NA
JA20160714_01,14/07/2016,20:55:00,Tarot 680 Pro,Sequoia (RED),NA
JA20160714_02,14/07/2016,21:06:00,Tarot 680 Pro,Sequoia (RED),NA
JA20160722_01,22/07/2016,15:30:00,Tarot 680 Pro,Sequoia (RED),NA
JA20160722_02,22/07/2016,15:40:00,Tarot 680 Pro,Sequoia (RED),NA
JA20160722_03,22/07/2016,17:10:00,Tarot 680 Pro,Sequoia (RED),NA
JA20160723_02,23/07/2016,17:50:00,Tarot 680 Pro,Sequoia (RED),NA
JA20160723_03,23/07/2016,20:30:00,Tarot 680 Pro,Sequoia (RED),NA
JA20160723_04,23/07/2016,21:05:00,Tarot 680 Pro,Sequoia (RED),NA
JA20160724_01,24/07/2016,14:40:00,Tarot 680 Pro,Sequoia (RED),NA
JA20160724_02,24/07/2016,15:10:00,Tarot 680 Pro,Sequoia (RED),NA
JA20160724_03,24/07/2016,17:05:00,Tarot 680 Pro,Sequoia (RED),NA
JA20160724_04,24/07/2016,17:11:00,Tarot 680 Pro,Sequoia (RED),NA
JA20160724_05,24/07/2016,17:22:00,Tarot 680 Pro,Sequoia (RED),NA
JA20160724_06,24/07/2016,18:20:00,Tarot 680 Pro,Sequoia (RED),NA
JA20160725_01,25/07/2016,15:08:00,Tarot 680 Pro,Sequoia (RED),NA
JA20160725_02,25/07/2016,16:15:00,Tarot 680 Pro,Sequoia (RED),NA
JA27072016_01,27/07/2016,14:41:00,Tarot 680 Pro,Sequoia (RED),NA
JA27072016_02,27/07/2016,15:15:00,Tarot 680 Pro,Sequoia (RED),NA
JA27072016_03,27/07/2016,15:58:00,Tarot 680 Pro,Sequoia (RED),NA
JA20160729_01,29/07/2016,13:30:00,Tarot 680 Pro,Sequoia (RED),NA
JA20160729_02,29/07/2016,14:20:00,Tarot 680 Pro,Sequoia (RED),NA
JA20160730_01,30/07/2016,15:06:00,Tarot 680 Pro,Sequoia (RED),NA
JA20160730_02,30/07/2016,16:47:00,Tarot 680 Pro,Sequoia (RED),NA
JA20160730_03,30/07/2016,17:11:00,Tarot 680 Pro,Sequoia (RED),NA
JA20160730_04,30/07/2016,19:20:00,Tarot 680 Pro,Sequoia (RED),NA
JA20160730_05,30/07/2016,19:53:00,Tarot 680 Pro,Sequoia (RED),NA
JA20160730_06,30/07/2016,20:33:00,Tarot 680 Pro,Sequoia (RED),NA
JA20160801_01,01/08/2016,18:15:00,Tarot 680 Pro,Sequoia (RED),NA
JA20160801_02,01/08/2016,19:00:00,Tarot 680 Pro,Sequoia (RED),NA
JA20160803_01,03/08/2016,14:10:00,Tarot 680 Pro,Sequoia (RED),NA
JA20160803_02,03/08/2016,14:37:00,Tarot 680 Pro,Sequoia (RED),NA
JA20160803_03,03/08/2016,15:09:00,Tarot 680 Pro,Sequoia (RED),NA
JA20160803_04,03/08/2016,16:30:00,Tarot 680 Pro,Sequoia (RED),NA
JA20160803_05,03/08/2016,17:36:00,Tarot 680 Pro,Sequoia (RED),NA
JA20160803_06,03/08/2016,18:04:00,Tarot 680 Pro,Sequoia (RED),NA
JA20160803_07,03/08/2016,20:08:00,Tarot 680 Pro,Sequoia (RED),NA
JA20160803_08,03/08/2016,21:11:00,Tarot 680 Pro,Sequoia (RED),NA
JA20160803_09,03/08/2016,21:16:00,Tarot 680 Pro,Sequoia (RED),NA
JA20160804_01,04/08/2016,15:17:00,Tarot 680 Pro,Sequoia (RED),NA
JA20160804_02,04/08/2016,15:37:00,Tarot 680 Pro,Sequoia (RED),NA
JA20160804_03,04/08/2016,17:19:00,Tarot 680 Pro,Sequoia (RED),NA
JA20160804_04,04/08/2016,17:55:00,Tarot 680 Pro,Sequoia (RED),NA
JA20160805_01,05/08/2016,13:03:00,Tarot 680 Pro,Sequoia (RED),NA
JA20160805_02,05/08/2016,13:43:00,Tarot 680 Pro,Sequoia (RED),NA
