plot,veg_type,date,observer,species,plant,stage,flower_stalk,longest_leaf,new_growth,corner,soil_moisture,active_layer,notes
PS4,KOM,01-Aug-16,Jakob,ARCLAT,2,P2 - Date green stem/leaves growing,NA,135,NA,NA,NA,NA,Discolouration 
PS4,KOM,01-Aug-16,Jakob,ARCLAT,3,P2 - Date green stem/leaves growing,NA,169,NA,NA,NA,NA,Discolouration 
PS4,KOM,01-Aug-16,Jakob,ARCLAT,4,P2 - Date green stem/leaves growing,NA,162,NA,NA,NA,NA,Discolouration 
PS4,KOM,01-Aug-16,Jakob,ARCLAT,5,P2 - Date green stem/leaves growing,NA,117,NA,NA,NA,NA,Discolouration 
PS4,KOM,01-Aug-16,Jakob,ARCLAT,6,P5 - Date seeds developed,176,147,NA,NA,NA,NA,Discolouration 
PS4,KOM,01-Aug-16,Jakob,DRYINT,1,P4 - Date last petal shed,43,27,NA,NA,NA,NA,Flower aborted
PS4,KOM,01-Aug-16,Jakob,DRYINT,2,P4 - Date last petal shed,34,20,NA,NA,NA,NA,Flower aborted
PS4,KOM,01-Aug-16,Jakob,DRYINT,3,P4 - Date last petal shed,34,28,NA,NA,NA,NA,Flower aborted
PS4,KOM,01-Aug-16,Jakob,DRYINT,4,P6 - Date seeds start dispersing,84,25,NA,NA,NA,NA,NA
PS4,KOM,01-Aug-16,Jakob,DRYINT,5,P4 - Date last petal shed,37,22,NA,NA,NA,NA,Flower aborted
PS4,KOM,01-Aug-16,Jakob,DRYINT,6,P5 - Date first twisting of filaments on seed heads,110,23,NA,NA,NA,NA,NA
PS4,KOM,01-Aug-16,Jakob,NA,NA,NA,NA,NA,NA,NE,33.1,43.6,NA
PS4,KOM,01-Aug-16,Jakob,NA,NA,NA,NA,NA,NA,NW,30.9,39.6,NA
PS4,KOM,01-Aug-16,Jakob,NA,NA,NA,NA,NA,NA,SW,47.2,39.8,NA
PS4,KOM,01-Aug-16,Jakob,NA,NA,NA,NA,NA,NA,SE,45.2,40.9,NA
PS4,KOM,01-Aug-16,Jakob,SALARC,1,P5 - Date first yellowing of leaves,NA,39,17,NA,NA,NA,NA
PS4,KOM,01-Aug-16,Jakob,SALARC,2,P5 - Date first yellowing of leaves,NA,44,24,NA,NA,NA,NA
PS4,KOM,01-Aug-16,Jakob,SALARC,3,P5 - Date first yellowing of leaves,NA,54,71,NA,NA,NA,NA
PS4,KOM,01-Aug-16,Jakob,SALARC,4,P5 - Date first yellowing of leaves,NA,46,48,NA,NA,NA,NA
