"Sensor","Date"
"Landsat8",2016-05-11
"Landsat8",2016-05-20
"Landsat8",2016-06-28
"Landsat8",2016-07-14
"Landsat8",2016-08-06
"Landsat8",2016-08-08
"Landsat8",2016-09-23
"Landsat8",2017-05-30
"Landsat8",2017-06-06
"Landsat8",2017-06-22
"Landsat8",2017-06-24
"Landsat8",2017-07-01
"Landsat8",2017-07-08
"Landsat8",2017-07-17
"Landsat8",2017-09-12
