"Sensor","Drone","Landsat 8","MODIS","Sentinel 2A","Sentinel 2B"
"Drone"," 0.000 (16)","-0.027 (12)","-0.063 (12)","-0.049 (11)","-0.073 ( 9)"
"Landsat 8"," 0.027 (12)"," 0.000 (24)","-0.035 (14)","-0.010 (17)","-0.036 ( 7)"
"MODIS"," 0.063 (12)"," 0.035 (14)"," 0.000 (27)"," 0.016 (16)","-0.008 ( 8)"
"Sentinel 2A"," 0.049 (11)"," 0.010 (17)","-0.016 (16)"," 0.000 (23)","-0.022 ( 8)"
"Sentinel 2B"," 0.073 ( 9)"," 0.036 ( 7)"," 0.008 ( 8)"," 0.022 ( 8)"," 0.000 (11)"
